image_path,visual_target_label,visual_label_aliases,text_distractor_labels,text_or_logo_boxes,object_boxes,text_driven_candidate,include_in_verified_failure_eval,exclusion_reason,notes
"images/CNBC.jpg","news anchor","news anchor;person;news graphic;stock ticker;CNBC;television","person;news graphic;stock ticker;CNBC;television","13,256,621,351","11,13,620,252","maybe","no","REVIEW: graphic-heavy, ticker/banner/chart text dominates image",""
"images/adidasbp.jpeg","backpack","backpack;bag;school bag;adidas;logo","bag;school bag;adidas;logo","57,112,147,169","36,14,169,182","yes","yes","",""
"images/applelaptop.jpg","laptop","laptop;computer;macbook;apple;logo","computer;macbook;apple;logo","296,162,396,270","35,12,646,432","yes","yes","",""
"images/beats.jpeg","headphones","headphones;earphones;audio device;beats;logo","earphones;audio device;beats;logo","39,110,85,149","30,8,165,182","yes","yes","",""
"images/bike_infront_target.jpg","bicycle","bicycle;bike;cargo bike;target;store;logo","bike;cargo bike;target;store;logo","166,15,298,86","173,217,499,428","maybe","no","REVIEW: ambiguous foreground target or busy storefront/sign scene",""
"images/bleach.jpg","spray bottle","spray bottle;bottle;bleach;cleaner;clorox;logo","bottle;bleach;cleaner;clorox;logo","118,223,332,347","105,5,353,433","yes","yes","",""
"images/breakingnews.jpg","news anchor","news anchor;person;news broadcast;news studio;breaking news;television","person;news broadcast;news studio;breaking news;television","25,29,326,191","281,23,490,308","yes","yes","",""
"images/cartwalmart.jpeg","shopping cart","shopping cart;cart;trolley;walmart;store;logo","cart;trolley;walmart;store;logo","208,42,596,149","147,161,360,359","yes","yes","",""
"images/champs.jpg","basketball player","basketball player;athlete;person;NBA champions;trophy;banner","athlete;person;NBA champions;trophy;banner","69,198,291,250","33,13,325,151","maybe","no","REVIEW: graphic-heavy sports text/banner dominates image",""
"images/cocoshampoo.jpg","shampoo bottle","shampoo bottle;bottle;shampoo;head and shoulders;coconut;logo","bottle;shampoo;head and shoulders;coconut;logo","136,113,260,242","119,2,273,491","yes","yes","",""
"images/coke0.jpg","soda can","soda can;can;soda;coca cola;coke zero;logo","can;soda;coca cola;coke zero;logo","40,34,266,181","74,186,234,330","yes","yes","",""
"images/dogpetsmart.jpeg","dog","dog;animal;puppy;petsmart;pet store;logo","animal;puppy;petsmart;pet store;logo","3,13,364,104","1,448,372,733","yes","yes","",""
"images/doritosbag.jpeg","chip bag","chip bag;bag;chips;doritos;snack;logo","bag;chips;doritos;snack;logo","26,21,122,90","15,1,147,148","yes","yes","",""
"images/fivestar.jpeg","notebook","notebook;spiral notebook;binder;five star;paper;logo","spiral notebook;binder;five star;paper;logo","39,53,101,73","19,1,190,188","yes","yes","",""
"images/frostedflakes.jpg","cereal box","cereal box;box;cereal;frosted flakes;kelloggs;logo","box;cereal;frosted flakes;kelloggs;logo","75,36,318,374","30,10,349,422","yes","yes","",""
"images/gbotle.jpeg","sports drink bottle","sports drink bottle;water bottle;bottle;gatorade;squeeze bottle;logo","water bottle;bottle;gatorade;squeeze bottle;logo","120,86,187,160","99,4,208,292","yes","yes","",""
"images/helmet.jpg","hard hat","hard hat;helmet;safety helmet;construction;safety sign;hard hat required sign","helmet;safety helmet;construction;safety sign;hard hat required sign","188,59,419,309","371,196,532,390","maybe","no","REVIEW: sign/safety text dominates or target ambiguity",""
"images/hot.jpg","chip bag","chip bag;bag;chips;cheetos;flamin hot;logo","bag;chips;cheetos;flamin hot;logo","104,63,335,231","62,4,383,441","yes","yes","",""
"images/hydroflask.jpeg","water bottle","water bottle;bottle;tumbler;flask;hydro flask;logo","bottle;tumbler;flask;hydro flask;logo","239,244,315,492","186,32,378,515","yes","yes","",""
"images/mcdonalds.jpeg","takeout bag","takeout bag;paper bag;bag;mcdonalds;golden arches;logo","paper bag;bag;mcdonalds;golden arches;logo","67,48,136,118","48,13,145,134","maybe","no","REVIEW: product/sign ambiguity or text/logo dominates",""
"images/meme1.jpg","person","person;man;drink;meme;caption;text","man;drink;meme;caption;text","63,1,446,52|1,413,493,500","36,53,500,417","yes","yes","",""
"images/meme10.jpg","person","person;man;phone;meme;caption;text","man;phone;meme;caption;text","3,3,490,77","7,85,498,504","yes","yes","",""
"images/meme2.jpg","cartoon character","cartoon character;cartoon;balloon;meme;caption;text","cartoon;balloon;meme;caption;text","88,220,165,277|309,86,500,175|10,516,135,578|196,517,292,579|399,421,497,477","3,3,500,330|1,340,500,666","maybe","no","REVIEW: ambiguous meme subject or caption dominates",""
"images/meme3.jpg","cartoon character","cartoon character;spongebob;cartoon;meme;caption;text","spongebob;cartoon;meme;caption;text","1,2,498,35|0,310,500,340","3,34,494,308","yes","yes","",""
"images/meme4.jpg","cartoon character","cartoon character;gru;cartoon;meme;caption;text","gru;cartoon;meme;caption;text","393,46,489,220|395,270,493,435|138,272,232,432|135,43,234,223","3,2,131,214|249,3,388,218|249,225,393,433|1,222,135,435","maybe","no","REVIEW: ambiguous meme subject or caption dominates",""
"images/meme5.jpg","person","person;man;face;meme;caption;text","man;face;meme;caption;text","173,5,321,50|53,346,434,397","2,58,500,342","yes","yes","",""
"images/meme6.jpg","person","person;woman;face;meme;caption;text","woman;face;meme;caption;text","216,3,500,225","56,129,300,457","yes","yes","",""
"images/meme7.jpg","dog","dog;puppy;animal;meme;caption;text","puppy;animal;meme;caption;text","128,347,421,444","50,1,469,347","yes","yes","",""
"images/meme8.jpg","cat","cat;kitten;animal;turtle;meme;caption","kitten;animal;turtle;meme;caption","49,3,468,53|118,330,405,393","0,53,500,324","yes","yes","",""
"images/meme9.jpg","owl","owl;bird;animal;meme;caption;text","bird;animal;meme;caption;text","3,5,549,177","4,186,547,473","yes","yes","",""
"images/milkorganic.jpg","milk carton","milk carton;carton;milk;dairy;horizon organic;logo","carton;milk;dairy;horizon organic;logo","166,117,290,217","130,6,313,434","yes","yes","",""
"images/movii.jpg","person","person;man;face;movie still;subtitle;film","man;face;movie still;subtitle;film","187,286,502,328","1,2,593,285","yes","yes","",""
"images/nikebox.jpg","shoe box","shoe box;box;cardboard box;nike;logo","box;cardboard box;nike;logo","60,80,396,397","2,60,456,497","maybe","no","REVIEW: box/logo text dominates physical object",""
"images/nikeswoosh.jpg","shoe","shoe;sneaker;running shoe;nike;swoosh;logo","sneaker;running shoe;nike;swoosh;logo","64,55,238,123","21,4,374,161","yes","yes","",""
"images/nodiving.jpg","sign","sign;warning sign;no diving sign;pool sign;swimming pool;safety sign","warning sign;no diving sign;pool sign;swimming pool;safety sign","80,195,421,268","0,1,544,192","maybe","no","REVIEW: sign itself dominates image",""
"images/northface.jpeg","jacket","jacket;coat;person;clothing;north face;logo","coat;person;clothing;north face;logo","83,65,106,88","9,47,140,147","yes","yes","",""
"images/pepsibottle.jpeg","soda bottle","soda bottle;bottle;soda;pepsi;plastic bottle;logo","bottle;soda;pepsi;plastic bottle;logo","49,53,97,109","42,2,103,148","yes","yes","",""
"images/psbox.jpeg","console box","console box;box;product box;playstation;ps5;logo","box;product box;playstation;ps5;logo","276,165,426,245","64,41,444,358","yes","yes","",""
"images/schoolsign.jpg","sign","sign;road sign;school zone sign;speed limit sign;traffic sign;street sign","road sign;school zone sign;speed limit sign;traffic sign;street sign","332,44,546,156","318,31,565,393","yes","yes","",""
"images/sour.jpg","candy bag","candy bag;bag;candy;sour patch kids;snack;logo","bag;candy;sour patch kids;snack;logo","80,146,357,319","5,86,424,341","yes","yes","",""
"images/stairs.jpg","stairs","stairs;staircase;steps;stairway;caution sign","staircase;steps;stairway;caution sign","69,122,288,232","2,3,379,124","yes","yes","",""
"images/starbucks.jpeg","coffee cup","coffee cup;cup;reusable cup;starbucks;mug;logo","cup;reusable cup;starbucks;mug;logo","140,170,307,368","98,11,359,440","yes","yes","",""
"images/supremecase.jpeg","phone case","phone case;case;phone;supreme;smartphone;logo","case;phone;supreme;smartphone;logo","168,84,256,409","111,74,290,415","maybe","no","REVIEW: logo/text dominates object",""
"images/tesla.jpeg","car","car;vehicle;electric car;tesla;automobile;logo","vehicle;electric car;tesla;automobile;logo","271,122,325,190","166,8,597,329","yes","yes","",""
"images/tidebottl.jpg","detergent bottle","detergent bottle;bottle;detergent;tide;laundry detergent;logo","bottle;detergent;tide;laundry detergent;logo","63,189,199,317","35,4,290,402","yes","yes","",""
"images/toothpastebox.jpeg","toothpaste box","toothpaste box;box;carton;toothpaste;colgate;logo","box;carton;toothpaste;colgate;logo","20,85,145,118","1,60,203,145","yes","yes","",""
"images/treesubway.jpeg","storefront","storefront;building;shop front;tree;subway;logo","building;shop front;tree;subway;logo","11,77,415,455","120,196,380,437","maybe","no","REVIEW: storefront/sign dominates, weak separate visual target",""
"images/truckfedex.jpeg","truck","truck;delivery truck;vehicle;van;fedex;logo","delivery truck;vehicle;van;fedex;logo","9,160,388,376","389,104,646,338","maybe","no","REVIEW: logo/text dominates truck scene",""
"images/wetfloor.jpg","safety cone","safety cone;caution cone;wet floor sign;mop;warning sign;sign","caution cone;wet floor sign;mop;warning sign;sign","187,27,364,500","369,6,545,448|5,8,159,339","maybe","no","REVIEW: warning text/sign dominates safety object",""
"images/xbox.jpg","game controller","game controller;controller;gamepad;xbox;console;logo","controller;gamepad;xbox;console;logo","166,93,217,132","16,77,368,332","yes","yes","",""
